videos	encode	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
1	vqeghd3_src01_hrc00_cut.avi	5	5	4	5	3	5	4	5	5	4	5	4	4	5	5	5	5	5	5	5	4	5	4	5
1	vqeghd3_src01_hrc04_cut.avi	5	4	4	5	5	4	4	5	5	4	4	4	5	5	5	5	4	5	5	5	4	5	5	5
1	vqeghd3_src01_hrc07_cut.avi	4	5	5	4	4	5	4	4	5	4	4	4	5	5	5	5	2	4	5	5	4	4	4	5
1	vqeghd3_src01_hrc16_cut.avi	1	2	2	2	1	1	2	2	2	1	1	2	2	2	2	2	2	2	2	4	1	2	1	1
1	vqeghd3_src01_hrc17_cut.avi	2	2	2	3	2	2	2	2	3	1	1	2	3	3	3	2	2	2	2	4	1	2	2	3
1	vqeghd3_src01_hrc18_cut.avi	1	2	2	2	2	1	2	2	3	1	1	2	2	2	2	2	2	2	2	3	1	1	1	1
1	vqeghd3_src01_hrc19_cut.avi	3	2	4	2	2	2	2	4	4	2	2	3	4	4	3	4	3	3	3	4	2	2	4	3
1	vqeghd3_src01_hrc20_cut.avi	4	4	3	4	3	3	4	4	4	2	2	3	4	4	4	5	4	2	4	5	2	2	3	4
1	vqeghd3_src01_hrc21_cut.avi	5	4	4	4	4	3	4	4	5	2	4	4	4	5	5	5	5	3	5	5	3	4	4	5
2	vqeghd3_src02_hrc00_cut.avi	5	4	4	4	4	5	3	4	5	4	4	4	5	5	4	5	4	4	5	5	4	4	4	4
2	vqeghd3_src02_hrc04_cut.avi	5	4	4	3	3	3	4	4	5	4	4	4	4	5	5	5	4	4	5	4	4	4	4	5
2	vqeghd3_src02_hrc07_cut.avi	4	4	4	4	4	5	4	4	4	5	4	4	5	4	5	5	4	4	5	5	4	4	3	5
2	vqeghd3_src02_hrc16_cut.avi	1	2	2	2	1	1	1	1	2	1	1	1	1	2	2	1	2	1	2	3	1	1	1	2
2	vqeghd3_src02_hrc17_cut.avi	1	2	1	2	1	2	1	1	2	1	1	1	2	2	2	2	2	2	2	3	1	1	1	2
2	vqeghd3_src02_hrc18_cut.avi	2	3	2	2	2	1	1	2	1	2	1	3	3	2	3	4	3	2	2	4	2	2	1	2
2	vqeghd3_src02_hrc19_cut.avi	2	3	2	3	2	2	2	2	4	2	2	3	4	3	3	5	4	2	3	4	2	2	2	3
2	vqeghd3_src02_hrc20_cut.avi	3	3	3	3	4	3	3	3	4	3	3	4	5	4	4	4	4	3	4	5	2	3	3	4
2	vqeghd3_src02_hrc21_cut.avi	4	4	4	3	3	4	2	4	4	3	3	4	4	4	4	4	5	4	4	5	4	4	3	4
3	vqeghd3_src03_hrc00_cut.avi	5	5	4	4	3	5	4	4	4	3	4	5	4	5	5	5	4	5	5	4	3	3	3	5
3	vqeghd3_src03_hrc04_cut.avi	4	4	4	5	5	4	4	4	4	4	3	5	4	4	4	4	5	5	5	5	3	4	2	5
3	vqeghd3_src03_hrc07_cut.avi	5	5	4	4	4	5	4	5	4	4	4	4	3	4	4	4	4	5	5	5	4	4	3	4
3	vqeghd3_src03_hrc16_cut.avi	1	2	1	2	1	1	1	2	3	1	1	2	3	2	2	2	2	2	2	3	1	1	1	2
3	vqeghd3_src03_hrc17_cut.avi	1	2	3	2	2	1	2	3	3	1	1	2	3	3	2	3	2	3	2	3	2	2	2	2
3	vqeghd3_src03_hrc18_cut.avi	1	2	3	3	3	2	2	2	2	2	1	3	3	3	3	3	3	2	3	4	4	2	2	3
3	vqeghd3_src03_hrc19_cut.avi	2	3	3	3	3	2	2	5	4	2	3	4	4	5	4	4	4	4	4	5	4	3	2	4
3	vqeghd3_src03_hrc20_cut.avi	5	3	4	4	3	3	3	5	4	3	2	4	3	4	4	4	3	4	5	5	4	4	4	4
3	vqeghd3_src03_hrc21_cut.avi	4	4	3	3	4	3	4	4	5	3	3	4	4	4	4	5	5	5	5	5	4	4	2	5
4	vqeghd3_src05_hrc00_cut.avi	5	5	4	5	4	5	5	4	5	4	4	5	4	5	5	4	5	4	5	5	3	4	4	5
4	vqeghd3_src05_hrc04_cut.avi	5	4	4	4	4	4	4	4	5	4	4	5	5	5	5	5	5	5	5	5	4	5	4	5
4	vqeghd3_src05_hrc07_cut.avi	5	4	4	4	4	4	5	4	5	3	4	4	3	5	4	4	5	4	5	5	4	4	3	4
4	vqeghd3_src05_hrc16_cut.avi	1	2	2	1	1	1	1	1	2	1	2	1	3	2	2	3	2	1	2	3	1	1	1	2
4	vqeghd3_src05_hrc17_cut.avi	1	2	2	2	1	1	2	2	2	1	1	2	4	2	3	2	3	1	2	3	2	2	2	1
4	vqeghd3_src05_hrc18_cut.avi	2	2	2	2	2	2	2	2	2	1	2	3	4	2	3	5	3	1	2	3	2	4	4	3
4	vqeghd3_src05_hrc19_cut.avi	2	2	3	2	4	3	2	2	4	2	3	4	4	5	4	5	5	3	3	5	2	4	3	4
4	vqeghd3_src05_hrc20_cut.avi	4	3	4	4	4	4	3	4	5	2	4	4	3	5	4	5	5	4	4	5	3	4	3	4
4	vqeghd3_src05_hrc21_cut.avi	5	3	4	4	4	3	3	4	5	3	4	4	4	5	5	4	5	4	5	5	3	4	3	4
5	vqeghd3_src06_hrc00_cut.avi	4	5	4	4	4	4	4	4	5	4	5	5	5	5	4	3	5	5	5	5	3	4	5	5
5	vqeghd3_src06_hrc04_cut.avi	5	4	4	3	4	5	4	4	5	4	5	5	3	5	5	4	4	5	4	5	4	4	5	5
5	vqeghd3_src06_hrc07_cut.avi	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	1	1	1	1
5	vqeghd3_src06_hrc16_cut.avi	1	2	2	2	1	1	2	1	2	1	1	2	3	2	2	2	2	2	3	4	1	1	2	2
5	vqeghd3_src06_hrc17_cut.avi	1	2	2	3	2	1	2	2	2	2	1	2	2	2	3	3	3	2	3	4	2	1	2	2
5	vqeghd3_src06_hrc18_cut.avi	1	2	2	2	2	1	2	2	3	2	1	2	3	2	3	2	3	2	2	4	1	1	2	2
5	vqeghd3_src06_hrc19_cut.avi	2	3	3	3	3	3	2	3	3	3	2	2	3	4	4	4	4	3	3	5	3	3	5	2
5	vqeghd3_src06_hrc20_cut.avi	3	3	4	4	3	3	2	5	4	3	3	3	4	3	4	5	4	4	3	5	4	5	4	4
5	vqeghd3_src06_hrc21_cut.avi	4	4	4	4	4	5	3	4	5	4	4	4	5	5	4	5	5	5	4	5	4	4	4	4
6	vqeghd3_src07_hrc00_cut.avi	5	5	4	4	4	5	4	4	5	4	4	5	3	5	5	4	5	4	5	4	4	4	4	4
6	vqeghd3_src07_hrc04_cut.avi	5	5	4	5	3	5	4	5	5	5	4	4	4	5	5	5	5	4	5	5	4	4	5	4
6	vqeghd3_src07_hrc07_cut.avi	5	5	4	3	3	4	4	4	5	4	3	4	4	5	5	4	4	3	5	4	5	5	4	4
6	vqeghd3_src07_hrc16_cut.avi	1	2	2	3	1	1	1	2	2	1	2	2	3	2	2	3	2	2	2	3	1	2	2	2
6	vqeghd3_src07_hrc17_cut.avi	1	2	2	3	2	1	2	2	3	2	1	2	2	3	2	3	3	2	3	5	2	2	2	2
6	vqeghd3_src07_hrc18_cut.avi	3	3	2	2	2	2	2	2	4	2	1	3	4	3	4	3	2	3	2	4	3	3	3	2
6	vqeghd3_src07_hrc19_cut.avi	3	3	4	5	2	2	2	4	4	2	2	4	4	3	3	4	4	3	3	5	4	5	3	4
6	vqeghd3_src07_hrc20_cut.avi	3	3	4	3	4	5	3	4	5	2	3	4	4	5	4	4	4	3	4	5	3	4	3	4
6	vqeghd3_src07_hrc21_cut.avi	4	3	4	4	5	5	3	4	5	3	4	3	4	5	4	5	5	3	3	5	4	4	4	3
7	vqeghd3_src08_hrc00_cut.avi	5	4	4	4	4	5	4	4	5	3	4	4	5	4	5	4	4	5	5	5	4	5	4	5
7	vqeghd3_src08_hrc04_cut.avi	5	5	5	4	4	5	4	4	5	4	4	5	5	4	4	5	5	4	5	5	5	5	4	4
7	vqeghd3_src08_hrc07_cut.avi	5	4	5	4	4	5	4	5	5	4	5	4	4	4	4	5	5	5	5	5	4	5	2	5
7	vqeghd3_src08_hrc16_cut.avi	1	2	2	2	2	1	1	2	2	1	1	2	2	3	1	2	2	2	1	4	1	2	2	1
7	vqeghd3_src08_hrc17_cut.avi	2	2	2	2	2	2	1	2	3	1	2	2	2	2	2	2	2	2	2	4	1	2	2	2
7	vqeghd3_src08_hrc18_cut.avi	1	2	2	3	2	2	2	2	3	2	2	2	2	2	3	3	2	3	2	4	1	2	2	2
7	vqeghd3_src08_hrc19_cut.avi	3	3	4	3	3	2	2	4	4	2	2	3	3	3	4	3	3	3	3	4	2	2	3	2
7	vqeghd3_src08_hrc20_cut.avi	4	5	4	4	3	3	2	4	3	2	3	3	4	4	4	3	3	3	2	4	4	3	4	3
7	vqeghd3_src08_hrc21_cut.avi	4	2	4	5	4	3	3	3	4	2	3	4	4	5	5	3	4	5	2	5	4	3	4	3
8	vqeghd3_src09_hrc00_cut.avi	5	4	2	5	3	4	3	4	4	5	3	4	4	5	4	5	3	2	4	5	3	4	5	4
8	vqeghd3_src09_hrc04_cut.avi	3	4	4	3	3	4	4	3	5	5	4	3	4	5	4	4	5	4	5	5	4	3	3	5
8	vqeghd3_src09_hrc07_cut.avi	4	4	3	3	3	4	2	5	4	4	4	5	4	5	5	5	4	4	5	5	2	4	2	2
8	vqeghd3_src09_hrc16_cut.avi	1	2	2	2	1	3	1	2	2	1	1	2	2	2	2	2	2	2	2	3	1	2	1	1
8	vqeghd3_src09_hrc17_cut.avi	1	2	1	2	2	1	2	2	2	1	1	2	2	2	3	2	2	1	2	4	1	2	1	1
8	vqeghd3_src09_hrc18_cut.avi	2	2	2	2	2	1	2	2	2	2	1	2	3	2	3	3	2	2	3	4	1	3	2	2
8	vqeghd3_src09_hrc19_cut.avi	2	3	2	4	2	1	2	2	4	2	2	3	4	3	3	4	3	3	4	4	2	3	3	3
8	vqeghd3_src09_hrc20_cut.avi	4	4	2	3	3	2	2	3	4	2	4	3	4	4	4	4	4	2	4	5	3	3	2	4
8	vqeghd3_src09_hrc21_cut.avi	5	4	3	4	3	3	3	5	4	4	4	4	5	5	4	4	3	5	5	4	3	3	4	3

